Title,Type,Status,Priority,Assignee,Parent,Description
CommPlex Phase 0 — Launch & Operations,Project,In Progress,Urgent,,,"Master project for getting CommPlex live and the team onboarded. Covers infrastructure, calling operations, vehicle asset liquidation, and team dev environment setup."
"[EPIC] Infrastructure & GCP Security",Epic,In Progress,Urgent,Kenyon Jones,CommPlex Phase 0 — Launch & Operations,"All foundational GCP, IAM, and GitHub infrastructure. Blocker for everything else."
"[EPIC] CommPlex Calling Operations — Live Today",Epic,In Progress,Urgent,Kenyon Jones,CommPlex Phase 0 — Launch & Operations,"Get wave and serial calling live on production Twilio number +1-866-736-2349. This is the top priority deliverable."
"[EPIC] Team Dev Environment Onboarding",Epic,Todo,High,Kenyon Jones,CommPlex Phase 0 — Launch & Operations,"Get all 3 active team members (Kenyon/Cynthia/Charles) set up with Codespaces, GCP access, and verified local tooling."
"[EPIC] Vehicle Asset Liquidation Tracker",Epic,Todo,High,Cynthia,CommPlex Phase 0 — Launch & Operations,"Track and execute liquidation of MKZ, TownCar, F350, Jayco, and Ford Edge. Capital generation for S2S runway."
"[EPIC] CommPlexEdge — Dashboard & Alerts",Epic,Todo,Medium,Cynthia,CommPlex Phase 0 — Launch & Operations,"PWA dashboard and ntfy alert system for live monitoring of call campaigns."
"[EPIC] CI/CD & Code Quality",Epic,In Progress,High,Charles,CommPlex Phase 0 — Launch & Operations,"GitHub Actions CI, branch protection, and code quality gates."
[STORY] Regenerate OAuth Desktop Client,Story,Todo,Urgent,Kenyon Jones,"[EPIC] Infrastructure & GCP Security","The oauth_desktop_client_secret.json from the old repo is invalid for the new repo. Must regenerate before team can authenticate."
[TASK] Go to GCP Credentials Console for commplex-493805,Task,Todo,Urgent,Kenyon Jones,[STORY] Regenerate OAuth Desktop Client,"Navigate to https://console.cloud.google.com/apis/credentials?project=commplex-493805"
[TASK] Create new OAuth client ID (Desktop app type),Task,Todo,Urgent,Kenyon Jones,[STORY] Regenerate OAuth Desktop Client,"Application type: Desktop app. Name: CommPlex Dev Client."
